Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,
10,Dereliction of Duty,0.0703,0.0337,180.6681,15.0000,0.3410,0.0033,0.3048,-0.0702,-0.0497,-0.0497,0.0703,0.3410,0.0033,0.1442,15.0000,0.0120,3.0187,0.4426,46.0333,0.1442,15.0000,0.1442,15.0000,0.1442,15.0000,1.0000,
11,Legacy,0.0994,0.0293,156.8380,18.0000,0.3611,0.0035,0.2941,-0.0993,-0.0702,-0.0702,0.0994,0.3611,0.0035,0.1731,18.0000,0.0129,3.2421,0.4707,48.9500,0.1731,18.0000,0.1635,17.0000,0.1731,18.0000,1.0000,
12,Off with Their Heads,0.1226,0.0953,510.2215,32.0000,0.3810,0.0037,0.2333,-0.1225,-0.0866,-0.0866,0.1226,0.3810,0.0037,0.2404,25.0000,0.0134,3.3789,0.5114,53.1833,0.2404,25.0000,0.2404,25.0000,0.2404,25.0000,1.0000,
13,Persecution,0.0729,0.0180,96.5490,10.0000,0.3410,0.0033,0.3333,-0.0728,-0.0515,-0.0515,0.0729,0.3410,0.0033,0.1250,13.0000,0.0117,2.9613,0.4345,45.1833,0.1250,13.0000,0.1154,12.0000,0.1250,13.0000,1.0000,
14,Rumsfeld's War,0.0684,0.0588,315.1616,4.0000,0.3954,0.0038,0.4167,-0.0683,-0.0483,-0.0483,0.0684,0.3954,0.0038,0.0865,9.0000,0.0112,2.8167,0.4567,47.5000,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
15,Breakdown,0.0285,0.0008,4.1170,3.0000,0.2921,0.0028,0.7000,-0.0285,-0.0201,-0.0201,0.0285,0.2921,0.0028,0.0481,5.0000,0.0081,2.0385,0.3627,37.7167,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
16,Betrayal,0.0174,0.0000,0.0000,1.0000,0.2788,0.0027,1.0000,-0.0174,-0.0123,-0.0123,0.0174,0.2788,0.0027,0.0288,3.0000,0.0063,1.5940,0.3370,35.0500,0.0288,3.0000,0.0288,3.0000,0.0288,3.0000,1.0000,
17,Shut Up and Sing,0.0416,0.0001,0.6551,2.0000,0.2971,0.0029,0.9000,-0.0416,-0.0294,-0.0294,0.0416,0.2971,0.0029,0.0481,5.0000,0.0086,2.1723,0.3723,38.7167,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
18,Meant To Be,0.0231,0.0000,0.2620,2.0000,0.3161,0.0030,0.6667,-0.0231,-0.0163,-0.0163,0.0231,0.3161,0.0030,0.0288,3.0000,0.0067,1.6807,0.3684,38.3167,0.0288,3.0000,0.0288,3.0000,0.0288,3.0000,1.0000,
19,The Right Man,0.0291,0.0365,195.7079,2.0000,0.3624,0.0035,0.2000,-0.0291,-0.0206,-0.0206,0.0291,0.3624,0.0035,0.0481,5.0000,0.0085,2.1392,0.4054,42.1667,0.0481,5.0000,0.0288,3.0000,0.0481,5.0000,1.0000,
20,Ten Minutes from Normal,0.0657,0.0262,140.4803,6.0000,0.3810,0.0037,0.4000,-0.0657,-0.0464,-0.0464,0.0657,0.3810,0.0037,0.0962,10.0000,0.0112,2.8190,0.4457,46.3500,0.0962,10.0000,0.0962,10.0000,0.0962,10.0000,1.0000,
21,Hillary's Scheme,0.0389,0.0001,0.6659,2.0000,0.2963,0.0028,0.8000,-0.0389,-0.0275,-0.0275,0.0389,0.2963,0.0028,0.0481,5.0000,0.0086,2.1596,0.3707,38.5500,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
22,The French Betrayal of America,0.0445,0.0072,38.3348,5.0000,0.3467,0.0033,0.3333,-0.0445,-0.0314,-0.0314,0.0445,0.3467,0.0033,0.0673,7.0000,0.0100,2.5184,0.4123,42.8833,0.0673,7.0000,0.0577,6.0000,0.0673,7.0000,1.0000,
23,Tales from the Left Coast,0.0573,0.0019,10.4334,7.0000,0.2980,0.0029,0.5000,-0.0573,-0.0405,-0.0405,0.0573,0.2980,0.0029,0.0865,9.0000,0.0104,2.6349,0.3867,40.2167,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
24,Hating America,0.0683,0.0050,26.5584,11.0000,0.3574,0.0034,0.6111,-0.0683,-0.0483,-0.0483,0.0683,0.3574,0.0034,0.0865,9.0000,0.0108,2.7204,0.4268,44.3833,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
25,The Third Terrorist,0.0300,0.0008,4.4726,4.0000,0.3210,0.0031,0.4000,-0.0300,-0.0212,-0.0212,0.0300,0.3210,0.0031,0.0481,5.0000,0.0086,2.1706,0.3808,39.6000,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
26,Endgame,0.0632,0.0060,32.0069,9.0000,0.3549,0.0034,0.5278,-0.0631,-0.0446,-0.0446,0.0632,0.3549,0.0034,0.0865,9.0000,0.0107,2.7040,0.4220,43.8833,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
27,Spin Sisters,0.0644,0.0029,15.4754,8.0000,0.3323,0.0032,0.5833,-0.0644,-0.0455,-0.0455,0.0644,0.3323,0.0032,0.0865,9.0000,0.0106,2.6801,0.4106,42.7000,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
28,All the Shah's Men,0.0678,0.0038,20.5601,1.0000,0.3421,0.0033,0.3333,-0.0678,-0.0480,-0.0480,0.0678,0.3421,0.0033,0.0288,3.0000,0.0067,1.6984,0.3817,39.7000,0.0288,3.0000,0.0192,2.0000,0.0288,3.0000,1.0000,
29,Dangerous Dimplomacy,0.0237,0.0097,51.9135,2.0000,0.3490,0.0034,0.3333,-0.0237,-0.0167,-0.0167,0.0237,0.3490,0.0034,0.0385,4.0000,0.0078,1.9657,0.3894,40.5000,0.0385,4.0000,0.0385,4.0000,0.0385,4.0000,1.0000,
30,The Price of Loyalty,0.3657,0.1395,747.0455,20.0000,0.4143,0.0040,0.2684,-0.3657,-0.2586,-0.2586,0.3657,0.4143,0.0040,0.1923,20.0000,0.0134,3.3886,0.5131,53.3667,0.1923,20.0000,0.1923,20.0000,0.1923,20.0000,1.0000,
31,"House of Bush, House of Saud",0.2149,0.0318,170.5453,7.0000,0.3824,0.0037,0.4000,-0.2149,-0.1520,-0.1520,0.2149,0.3824,0.0037,0.1058,11.0000,0.0117,2.9412,0.4482,46.6167,0.1058,11.0000,0.1058,11.0000,0.1058,11.0000,1.0000,
32,The Death of Right and Wrong,0.0363,0.0002,0.9762,2.0000,0.2889,0.0028,0.8000,-0.0362,-0.0256,-0.0256,0.0363,0.2889,0.0028,0.0481,5.0000,0.0084,2.1217,0.3590,37.3333,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
33,Useful Idiots,0.0514,0.0013,7.1837,7.0000,0.2946,0.0028,0.5278,-0.0514,-0.0363,-0.0363,0.0514,0.2946,0.0028,0.0865,9.0000,0.0103,2.6027,0.3811,39.6333,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
34,The O'Reilly Factor,0.0147,0.0002,1.2000,3.0000,0.2402,0.0023,0.6000,-0.0147,-0.0104,-0.0104,0.0147,0.2402,0.0023,0.0481,5.0000,0.0078,1.9640,0.2988,31.0714,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
35,Let Freedom Ring,0.0421,0.0084,44.7366,9.0000,0.3050,0.0029,0.3556,-0.0421,-0.0298,-0.0298,0.0421,0.3050,0.0029,0.0962,10.0000,0.0104,2.6299,0.3920,40.7667,0.0962,10.0000,0.0962,10.0000,0.0962,10.0000,1.0000,
36,Those Who Trespass,0.0274,0.0031,16.5768,2.0000,0.2857,0.0027,0.4000,-0.0274,-0.0194,-0.0194,0.0274,0.2857,0.0027,0.0481,5.0000,0.0082,2.0709,0.3526,36.6667,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
37,Bias,0.0361,0.0036,19.4895,6.0000,0.2921,0.0028,0.5238,-0.0361,-0.0255,-0.0255,0.0361,0.2921,0.0028,0.0673,7.0000,0.0093,2.3542,0.3699,38.4667,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
38,Slander,0.0315,0.0026,14.0961,6.0000,0.2889,0.0028,0.6667,-0.0315,-0.0223,-0.0223,0.0315,0.2889,0.0028,0.0673,7.0000,0.0092,2.3167,0.3635,37.8000,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
39,The Savage Nation,0.0388,0.0061,32.8023,6.0000,0.3041,0.0029,0.4643,-0.0387,-0.0274,-0.0274,0.0388,0.3041,0.0029,0.0769,8.0000,0.0098,2.4737,0.3840,39.9333,0.0769,8.0000,0.0769,8.0000,0.0769,8.0000,1.0000,
40,Deliver Us from Evil,0.0923,0.0462,247.6354,23.0000,0.3574,0.0034,0.2745,-0.0922,-0.0652,-0.0652,0.0923,0.3574,0.0034,0.1731,18.0000,0.0126,3.1807,0.4591,47.7500,0.1731,18.0000,0.1731,18.0000,0.1731,18.0000,1.0000,
41,Give Me a Break,0.0555,0.0033,17.6898,9.0000,0.3260,0.0031,0.6429,-0.0555,-0.0392,-0.0392,0.0555,0.3260,0.0031,0.0769,8.0000,0.0101,2.5538,0.3994,41.5333,0.0769,8.0000,0.0769,8.0000,0.0769,8.0000,1.0000,
42,The Enemy Within,0.0377,0.0007,3.7900,4.0000,0.2989,0.0029,0.5333,-0.0377,-0.0266,-0.0266,0.0377,0.2989,0.0029,0.0577,6.0000,0.0090,2.2797,0.3688,38.3500,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
43,The Real America,0.0248,0.0017,8.9607,2.0000,0.2889,0.0028,0.4000,-0.0248,-0.0175,-0.0175,0.0248,0.2889,0.0028,0.0481,5.0000,0.0082,2.0766,0.3571,37.1333,0.0481,5.0000,0.0385,4.0000,0.0481,5.0000,1.0000,
44,Who's Looking Out for You?,0.0384,0.0002,1.0652,2.0000,0.3006,0.0029,0.8000,-0.0384,-0.0271,-0.0271,0.0384,0.3006,0.0029,0.0481,5.0000,0.0085,2.1427,0.3687,38.3500,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
45,The Official Handbook Vast Right Wing Conspiracy,0.0477,0.0002,1.2706,6.0000,0.3200,0.0031,0.7333,-0.0477,-0.0337,-0.0337,0.0477,0.3200,0.0031,0.0577,6.0000,0.0093,2.3420,0.3833,39.8667,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
46,Power Plays,0.0311,0.0427,228.9463,2.0000,0.3355,0.0032,0.3333,-0.0311,-0.0220,-0.0220,0.0311,0.3355,0.0032,0.0385,4.0000,0.0078,1.9707,0.3835,39.8833,0.0385,4.0000,0.0288,3.0000,0.0385,4.0000,1.0000,
47,Arrogance,0.0925,0.0277,148.5255,21.0000,0.3514,0.0034,0.2745,-0.0924,-0.0654,-0.0654,0.0925,0.3514,0.0034,0.1731,18.0000,0.0126,3.1659,0.4588,47.7167,0.1731,18.0000,0.1731,18.0000,0.1731,18.0000,1.0000,
48,The Perfect Wife,0.0236,0.0002,1.3385,2.0000,0.3388,0.0033,0.8333,-0.0236,-0.0167,-0.0167,0.0236,0.3388,0.0033,0.0385,4.0000,0.0075,1.8947,0.3744,38.9333,0.0385,4.0000,0.0385,4.0000,0.0385,4.0000,1.0000,
49,The Bushes,0.0983,0.1036,555.1452,4.0000,0.4078,0.0039,0.2500,-0.0983,-0.0695,-0.0695,0.0983,0.4078,0.0039,0.0769,8.0000,0.0108,2.7340,0.4543,47.2500,0.0769,8.0000,0.0673,7.0000,0.0769,8.0000,1.0000,
50,Things Worth Fighting For,0.0237,0.0033,17.8265,1.0000,0.3467,0.0033,0.3333,-0.0237,-0.0167,-0.0167,0.0237,0.3467,0.0033,0.0288,3.0000,0.0068,1.7151,0.3814,39.6667,0.0288,3.0000,0.0192,2.0000,0.0288,3.0000,1.0000,
51,"Surprise, Security, the American Experience",0.0277,0.0204,109.1212,3.0000,0.3562,0.0034,0.6000,-0.0277,-0.0196,-0.0196,0.0277,0.3562,0.0034,0.0577,6.0000,0.0089,2.2535,0.3974,41.3333,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
52,Allies,0.0272,0.0133,71.3731,2.0000,0.3574,0.0034,0.4000,-0.0272,-0.0192,-0.0192,0.0272,0.3574,0.0034,0.0481,5.0000,0.0086,2.1770,0.3958,41.1667,0.0481,5.0000,0.0385,4.0000,0.0481,5.0000,1.0000,
53,Why Courage Matters,0.0477,0.0547,292.9908,2.0000,0.3714,0.0036,0.5000,-0.0477,-0.0338,-0.0338,0.0477,0.3714,0.0036,0.0481,5.0000,0.0088,2.2100,0.4087,42.5000,0.0481,5.0000,0.0385,4.0000,0.0481,5.0000,1.0000,
54,Hollywood Interrupted,0.0406,0.0002,0.9562,4.0000,0.2980,0.0029,0.8000,-0.0406,-0.0287,-0.0287,0.0406,0.2980,0.0029,0.0577,6.0000,0.0090,2.2795,0.3671,38.1833,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
55,Fighting Back,0.0210,0.0012,6.5201,2.0000,0.3104,0.0030,0.6667,-0.0210,-0.0148,-0.0148,0.0210,0.3104,0.0030,0.0385,4.0000,0.0074,1.8556,0.3617,37.6167,0.0385,4.0000,0.0385,4.0000,0.0385,4.0000,1.0000,
56,We Will Prevail,0.0148,0.0035,18.9335,0.0000,0.3077,0.0030,0.0000,-0.0148,-0.0104,-0.0104,0.0148,0.3077,0.0030,0.0385,4.0000,0.0074,1.8597,0.3546,36.8833,0.0385,4.0000,0.0000,0.0000,0.0385,4.0000,1.0000,
57,The Faith of George W Bush,0.0231,0.0111,59.2840,1.0000,0.3399,0.0033,0.3000,-0.0231,-0.0163,-0.0163,0.0231,0.3399,0.0033,0.0481,5.0000,0.0083,2.0861,0.3792,39.4333,0.0481,5.0000,0.0288,3.0000,0.0481,5.0000,1.0000,
58,Rise of the Vulcans,0.0890,0.0753,403.1555,8.0000,0.4127,0.0040,0.1923,-0.0890,-0.0629,-0.0629,0.0890,0.4127,0.0040,0.1250,13.0000,0.0122,3.0692,0.4720,49.0833,0.1250,13.0000,0.1058,11.0000,0.1250,13.0000,1.0000,
59,Downsize This!,0.0393,0.0009,4.9679,1.0000,0.2537,0.0024,0.6000,-0.0393,-0.0278,-0.0278,0.0393,0.2537,0.0024,0.0481,5.0000,0.0073,1.8370,0.3107,32.3095,0.0481,5.0000,0.0385,4.0000,0.0481,5.0000,1.0000,
60,Stupid White Men,0.0896,0.0029,15.7590,3.0000,0.2744,0.0026,0.6000,-0.0896,-0.0633,-0.0633,0.0896,0.2744,0.0026,0.0577,6.0000,0.0082,2.0797,0.3425,35.6167,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
61,Rush Limbaugh Is a Big Fat Idiot,0.0371,0.0022,11.8547,1.0000,0.2781,0.0027,0.1667,-0.0371,-0.0263,-0.0263,0.0371,0.2781,0.0027,0.0385,4.0000,0.0069,1.7519,0.3271,34.0167,0.0385,4.0000,0.0192,2.0000,0.0385,4.0000,1.0000,
62,The Best Democracy Money Can Buy,0.0861,0.0022,12.0490,3.0000,0.2759,0.0027,0.6667,-0.0861,-0.0609,-0.0609,0.0861,0.2759,0.0027,0.0577,6.0000,0.0082,2.0738,0.3457,35.9500,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
63,The Culture of Fear,0.0364,0.0000,0.0000,1.0000,0.2518,0.0024,1.0000,-0.0364,-0.0257,-0.0257,0.0364,0.2518,0.0024,0.0385,4.0000,0.0066,1.6537,0.3027,31.4762,0.0385,4.0000,0.0385,4.0000,0.0385,4.0000,1.0000,
64,America Unbound,0.0690,0.0284,151.8949,6.0000,0.3562,0.0034,0.3611,-0.0690,-0.0488,-0.0488,0.0690,0.3562,0.0034,0.0865,9.0000,0.0104,2.6109,0.4162,43.2833,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
65,The Choice,0.0329,0.0044,23.6846,4.0000,0.3220,0.0031,0.4762,-0.0329,-0.0233,-0.0233,0.0329,0.3220,0.0031,0.0673,7.0000,0.0092,2.3138,0.3697,38.4500,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
66,The Great Unraveling,0.3604,0.0652,349.2870,25.0000,0.3714,0.0036,0.2667,-0.3605,-0.2549,-0.2549,0.3604,0.3714,0.0036,0.2019,21.0000,0.0132,3.3241,0.4910,51.0667,0.2019,21.0000,0.2019,21.0000,0.2019,21.0000,1.0000,
67,Rogue Nation,0.0706,0.0294,157.5516,4.0000,0.3190,0.0031,0.2667,-0.0706,-0.0499,-0.0499,0.0706,0.3190,0.0031,0.0577,6.0000,0.0082,2.0771,0.3817,39.7000,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
68,Soft Power,0.0381,0.0018,9.7085,1.0000,0.3250,0.0031,0.5000,-0.0381,-0.0270,-0.0270,0.0381,0.3250,0.0031,0.0385,4.0000,0.0076,1.9077,0.3657,38.0333,0.0385,4.0000,0.0288,3.0000,0.0385,4.0000,1.0000,
69,Colossus,0.0190,0.0105,56.3449,1.0000,0.3133,0.0030,0.6000,-0.0190,-0.0134,-0.0134,0.0190,0.3133,0.0030,0.0481,5.0000,0.0078,1.9547,0.3529,36.7000,0.0481,5.0000,0.0385,4.0000,0.0481,5.0000,1.0000,
70,The Sorrows of Empire,0.1580,0.0037,19.6900,5.0000,0.3281,0.0032,0.4286,-0.1580,-0.1117,-0.1117,0.1580,0.3281,0.0032,0.0673,7.0000,0.0099,2.5073,0.3970,41.2833,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
71,Against All Enemies,0.2641,0.0392,209.9275,9.0000,0.3755,0.0036,0.2571,-0.2641,-0.1867,-0.1867,0.2641,0.3755,0.0036,0.1442,15.0000,0.0124,3.1295,0.4587,47.7000,0.1442,15.0000,0.1154,12.0000,0.1442,15.0000,1.0000,
72,American Dynasty,0.3830,0.0909,487.0437,23.0000,0.3939,0.0038,0.2554,-0.3830,-0.2708,-0.2708,0.3830,0.3939,0.0038,0.2115,22.0000,0.0132,3.3384,0.5011,52.1167,0.2115,22.0000,0.2115,22.0000,0.2115,22.0000,1.0000,
73,Big Lies,0.4018,0.0432,231.3681,24.0000,0.3502,0.0034,0.3143,-0.4018,-0.2841,-0.2841,0.4018,0.3502,0.0034,0.2019,21.0000,0.0129,3.2612,0.4739,49.2833,0.2019,21.0000,0.2019,21.0000,0.2019,21.0000,1.0000,
74,The Lies of George W. Bush,0.3422,0.0153,81.8963,18.0000,0.3410,0.0033,0.4250,-0.3422,-0.2419,-0.2419,0.3422,0.3410,0.0033,0.1538,16.0000,0.0123,3.0987,0.4458,46.3667,0.1538,16.0000,0.1538,16.0000,0.1538,16.0000,1.0000,
75,Worse Than Watergate,0.3360,0.0154,82.2185,24.0000,0.3675,0.0035,0.4583,-0.3360,-0.2376,-0.2376,0.3360,0.3675,0.0035,0.1538,16.0000,0.0124,3.1245,0.4585,47.6833,0.1538,16.0000,0.1538,16.0000,0.1538,16.0000,1.0000,
76,Plan of Attack,0.2803,0.0803,430.0976,12.0000,0.3969,0.0038,0.4103,-0.2803,-0.1982,-0.1982,0.2803,0.3969,0.0038,0.1250,13.0000,0.0123,3.1072,0.4671,48.5833,0.1250,13.0000,0.1154,12.0000,0.1250,13.0000,1.0000,
77,Bush at War,0.1323,0.0409,218.8793,3.0000,0.3810,0.0037,0.4286,-0.1323,-0.0936,-0.0936,0.1323,0.3810,0.0037,0.0673,7.0000,0.0103,2.5916,0.4263,44.3333,0.0673,7.0000,0.0577,6.0000,0.0673,7.0000,1.0000,
78,The New Pearl Harbor,0.1291,0.0001,0.5346,2.0000,0.3077,0.0030,0.8000,-0.1291,-0.0913,-0.0913,0.1291,0.3077,0.0030,0.0481,5.0000,0.0086,2.1604,0.3644,37.9000,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
79,Bushwomen,0.2091,0.0018,9.5732,6.0000,0.3281,0.0032,0.6071,-0.2091,-0.1478,-0.1478,0.2091,0.3281,0.0032,0.0769,8.0000,0.0103,2.5925,0.4010,41.7000,0.0769,8.0000,0.0769,8.0000,0.0769,8.0000,1.0000,
80,The Bubble of American Supremacy,0.1151,0.0001,0.6709,3.0000,0.3200,0.0031,0.5000,-0.1151,-0.0814,-0.0814,0.1151,0.3200,0.0031,0.0385,4.0000,0.0078,1.9721,0.3753,39.0333,0.0385,4.0000,0.0385,4.0000,0.0385,4.0000,1.0000,
81,Living History,0.0915,0.0007,3.9717,1.0000,0.2989,0.0029,0.5000,-0.0915,-0.0647,-0.0647,0.0915,0.2989,0.0029,0.0385,4.0000,0.0075,1.8995,0.3537,36.7833,0.0385,4.0000,0.0288,3.0000,0.0385,4.0000,1.0000,
82,The Politics of Truth,0.2521,0.0007,3.8755,8.0000,0.3410,0.0033,0.7778,-0.2521,-0.1782,-0.1782,0.2521,0.3410,0.0033,0.0865,9.0000,0.0108,2.7250,0.4141,43.0667,0.0865,9.0000,0.0865,9.0000,0.0865,9.0000,1.0000,
83,Fanatics and Fools,0.2022,0.0039,21.1494,6.0000,0.3366,0.0032,0.5357,-0.2022,-0.1430,-0.1430,0.2022,0.3366,0.0032,0.0769,8.0000,0.0103,2.5959,0.4045,42.0667,0.0769,8.0000,0.0769,8.0000,0.0769,8.0000,1.0000,
84,Bushwhacked,0.4199,0.0579,310.1097,32.0000,0.3636,0.0035,0.3004,-0.4199,-0.2969,-0.2969,0.4199,0.3636,0.0035,0.2212,23.0000,0.0130,3.2835,0.4886,50.8167,0.2212,23.0000,0.2212,23.0000,0.2212,23.0000,1.0000,
85,Disarming Iraq,0.0792,0.0079,42.0820,3.0000,0.3562,0.0034,0.3000,-0.0792,-0.0560,-0.0560,0.0792,0.3562,0.0034,0.0481,5.0000,0.0088,2.2172,0.4042,42.0333,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
86,Lies and the Lying Liars Who Tell Them,0.2676,0.0346,185.2988,11.0000,0.3525,0.0034,0.3516,-0.2676,-0.1892,-0.1892,0.2676,0.3525,0.0034,0.1346,14.0000,0.0118,2.9754,0.4454,46.3167,0.1346,14.0000,0.1346,14.0000,0.1346,14.0000,1.0000,
87,MoveOn's 50 Ways to Love Your Country,0.1217,0.0010,5.3141,3.0000,0.3006,0.0029,0.5000,-0.1217,-0.0860,-0.0860,0.1217,0.3006,0.0029,0.0481,5.0000,0.0084,2.1074,0.3620,37.6500,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
88,The Buying of the President 2004,0.1400,0.0000,0.2000,2.0000,0.3086,0.0030,0.9000,-0.1400,-0.0990,-0.0990,0.1400,0.3086,0.0030,0.0481,5.0000,0.0085,2.1352,0.3713,38.6167,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
