ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-401N|uniprotkb:P25798	DIP-408N|uniprotkb:P0ABZ1	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8604139|pubmed:DIP-281S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-451E	dip-quality-status:core	dip:0002(small scale)		-
DIP-619N|refseq:NP_287482|uniprotkb:P09120	DIP-408N|uniprotkb:P0ABZ1	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8604139|pubmed:DIP-281S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-452E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1100N|refseq:NP_416455|uniprotkb:P06974	DIP-1101N|refseq:NP_416456|uniprotkb:P15070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8604139|pubmed:DIP-281S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-454E	dip-quality-status:core	dip:0002(small scale)		-
DIP-565N|refseq:NP_290371|uniprotkb:P00824	DIP-564N|refseq:NP_290373|uniprotkb:P00822	 -	-	-	-	MI:0030(cross-linking study)|MI:0018(two hybrid)|MI:0401(biochemical)|MI:0114(x-ray crystallography)|MI:0676(tandem affinity purification)|MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:136256|pubmed:DIP-4311S|pubmed:8645696|pubmed:DIP-295S|pubmed:8645696|pubmed:DIP-295S|pubmed:10576729|pubmed:DIP-523S|pubmed:15690043|pubmed:DIP-4168S|pubmed:6995107|pubmed:DIP-4310S|pubmed:2868692|pubmed:DIP-4253S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0914(association)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-455E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-568N|refseq:NP_290372|uniprotkb:P00837	DIP-567N|refseq:NP_418187|uniprotkb:P00832	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0018(two hybrid)|MI:0030(cross-linking study)|MI:0676(tandem affinity purification)	-	pubmed:8910457|pubmed:DIP-2498S|pubmed:2868692|pubmed:DIP-4253S|pubmed:136256|pubmed:DIP-4311S|pubmed:8621695|pubmed:DIP-2499S|pubmed:8645696|pubmed:DIP-295S|pubmed:6995107|pubmed:DIP-4310S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-456E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-566N|refseq:NP_290374|uniprotkb:P00831	DIP-564N|refseq:NP_290373|uniprotkb:P00822	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0018(two hybrid)|MI:0030(cross-linking study)	-	pubmed:2868692|pubmed:DIP-4253S|pubmed:9195980|pubmed:DIP-2505S|pubmed:136256|pubmed:DIP-4311S|pubmed:6995107|pubmed:DIP-4310S|pubmed:1400447|pubmed:DIP-4151S|pubmed:8645696|pubmed:DIP-295S|pubmed:2875734|pubmed:DIP-4312S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-457E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-566N|refseq:NP_290374|uniprotkb:P00831	DIP-565N|refseq:NP_290371|uniprotkb:P00824	 -	-	-	-	MI:0030(cross-linking study)|MI:0018(two hybrid)|MI:0030(cross-linking study)	-	pubmed:6995107|pubmed:DIP-4310S|pubmed:8645696|pubmed:DIP-295S|pubmed:1400447|pubmed:DIP-4151S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-458E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-566N|refseq:NP_290374|uniprotkb:P00831	DIP-568N|refseq:NP_290372|uniprotkb:P00837	 -	-	-	-	MI:0018(two hybrid)|MI:0114(x-ray crystallography)	-	pubmed:8645696|pubmed:DIP-295S|pubmed:10576729|pubmed:DIP-523S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-459E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-566N|refseq:NP_290374|uniprotkb:P00831	DIP-567N|refseq:NP_418187|uniprotkb:P00832	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8645696|pubmed:DIP-295S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-460E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1100N|refseq:NP_416455|uniprotkb:P06974	DIP-1100N|refseq:NP_416455|uniprotkb:P06974	-	-	-	-	MI:0018(two hybrid)	-	pubmed:8604139|pubmed:DIP-281S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-453E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1100N|refseq:NP_416455|uniprotkb:P06974	DIP-408N|uniprotkb:P0ABZ1	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8604139|pubmed:DIP-281S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-450E	dip-quality-status:core	dip:0002(small scale)		-
DIP-154N|refseq:NP_415220|uniprotkb:P24169	DIP-579N|refseq:NP_285717|uniprotkb:P02378	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)	-	pubmed:7539334|pubmed:DIP-318S|pubmed:7539334|pubmed:DIP-318S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-734E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-154N|refseq:NP_415220|uniprotkb:P24169	DIP-581N|refseq:NP_290336|uniprotkb:P0A7P5	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)	-	pubmed:7539334|pubmed:DIP-318S|pubmed:7539334|pubmed:DIP-318S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-735E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-614N|refseq:NP_290333|uniprotkb:P03016	DIP-340N|refseq:NP_289122|uniprotkb:P15027	 -	-	-	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)	-	pubmed:8962075|pubmed:DIP-164S|pubmed:8962075|pubmed:DIP-164S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-809E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-479N|refseq:NP_290677|uniprotkb:P03033	DIP-479N|refseq:NP_290677|uniprotkb:P03033	-	-	-	-	MI:0114(x-ray crystallography)|MI:0013(biophysical)	-	pubmed:11551506|pubmed:DIP-2224S|pubmed:3896306|pubmed:DIP-368S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1002E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-360N|refseq:NP_417232|uniprotkb:P21156	DIP-513N|refseq:NP_417231|uniprotkb:P23845	 -	-	-	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pubmed:2828368|pubmed:DIP-256S|pubmed:2828368|pubmed:DIP-256S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1124E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1027N|refseq:NP_415271|uniprotkb:P11458	DIP-556N|refseq:NP_417069|uniprotkb:P10902	 -	-	-	-	MI:0013(biophysical)	-	pubmed:7033218|pubmed:DIP-303S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1125E	dip-quality-status:core	dip:0002(small scale)		-
DIP-362N|refseq:NP_285816|uniprotkb:P09159	DIP-362N|refseq:NP_285816|uniprotkb:P09159	-	-	-	-	MI:0401(biochemical)	-	pubmed:8132508|pubmed:DIP-396S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1133E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1028N|refseq:NP_286445|uniprotkb:P07459	DIP-1028N|refseq:NP_286445|uniprotkb:P07459	-	-	-	-	MI:0401(biochemical)	-	pubmed:3304349|pubmed:DIP-436S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1135E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1029N|refseq:NP_286444|uniprotkb:P07460	DIP-1029N|refseq:NP_286444|uniprotkb:P07460	-	-	-	-	MI:0401(biochemical)	-	pubmed:3304349|pubmed:DIP-436S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1136E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1029N|refseq:NP_286444|uniprotkb:P07460	DIP-1028N|refseq:NP_286445|uniprotkb:P07459	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0401(biochemical)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:8144675|pubmed:DIP-1653S|pubmed:3304349|pubmed:DIP-436S|pubmed:10625475|pubmed:DIP-1651S|pubmed:9917402|pubmed:DIP-1652S|pubmed:9917402|pubmed:DIP-1652S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-1137E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1157N|refseq:NP_416907|uniprotkb:P77173	DIP-1158N|refseq:NP_285791|uniprotkb:P06138	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0018(two hybrid)|MI:0254(genetic interference)|MI:0401(biochemical)|MI:0018(two hybrid)	-	pubmed:10880432|pubmed:DIP-2046S|pubmed:11278571|pubmed:DIP-2045S|pubmed:9008158|pubmed:DIP-504S|pubmed:11278571|pubmed:DIP-2045S|pubmed:14663069|pubmed:DIP-4011S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1364E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1036N|refseq:NP_415777|uniprotkb:P0A879	DIP-1035N|refseq:NP_415776|uniprotkb:P00928	 -	-	-	-	MI:0013(biophysical)|MI:0013(biophysical)|MI:0401(biochemical)|MI:0013(biophysical)	-	pubmed:373796|pubmed:DIP-2289S|pubmed:8797836|pubmed:DIP-2288S|pubmed:9485448|pubmed:DIP-352S|pubmed:9030553|pubmed:DIP-2287S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1123E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-564N|refseq:NP_290373|uniprotkb:P00822	DIP-568N|refseq:NP_290372|uniprotkb:P00837	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0676(tandem affinity purification)	-	pubmed:10576729|pubmed:DIP-523S|pubmed:1400447|pubmed:DIP-4151S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-2440E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-568N|refseq:NP_290372|uniprotkb:P00837	DIP-2198N|refseq:NP_290376|uniprotkb:P68699	 -	-	-	-	MI:0030(cross-linking study)|MI:0114(x-ray crystallography)|MI:0030(cross-linking study)	-	pubmed:10567396|pubmed:DIP-2497S|pubmed:10576729|pubmed:DIP-523S|pubmed:8910457|pubmed:DIP-2498S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-2443E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-568N|refseq:NP_290372|uniprotkb:P00837	DIP-565N|refseq:NP_290371|uniprotkb:P00824	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0676(tandem affinity purification)	-	pubmed:10576729|pubmed:DIP-523S|pubmed:1400447|pubmed:DIP-4151S|pubmed:2868692|pubmed:DIP-4253S|pubmed:136256|pubmed:DIP-4311S|pubmed:6995107|pubmed:DIP-4310S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-2441E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-2198N|refseq:NP_290376|uniprotkb:P68699	DIP-566N|refseq:NP_290374|uniprotkb:P00831	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10576729|pubmed:DIP-523S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-2442E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2892N|refseq:NP_416504|uniprotkb:P39180	DIP-2892N|refseq:NP_416504|uniprotkb:P39180	-	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10094691|pubmed:DIP-1027S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3909E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2893N|refseq:NP_417547|uniprotkb:P06864	DIP-2894N|refseq:NP_417548|uniprotkb:P0AC73	 -	-	-	-	MI:0040(electron microscopy)	-	pubmed:1540130|pubmed:DIP-1028S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3910E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2896N|refseq:NP_415427|uniprotkb:P23721	DIP-2896N|refseq:NP_415427|uniprotkb:P23721	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10024454|pubmed:DIP-1031S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-3913E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2901N|refseq:NP_414890|uniprotkb:P25437	DIP-2901N|refseq:NP_414890|uniprotkb:P25437	-	-	-	-	MI:0401(biochemical)	-	pubmed:1731906|pubmed:DIP-1035S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3918E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2902N|refseq:NP_309768|uniprotkb:P17547	DIP-2902N|refseq:NP_309768|uniprotkb:P17547	-	-	-	-	MI:0401(biochemical)	-	pubmed:2015910|pubmed:DIP-1036S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3919E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2905N|refseq:NP_415522|uniprotkb:P19926	DIP-2905N|refseq:NP_415522|uniprotkb:P19926	-	-	-	-	MI:0401(biochemical)	-	pubmed:2844729|pubmed:DIP-1039S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3922E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2907N|refseq:NP_414543|uniprotkb:P00561	DIP-2907N|refseq:NP_414543|uniprotkb:P00561	-	-	-	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pubmed:4302|pubmed:DIP-1042S|pubmed:3896789|pubmed:DIP-1041S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3924E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-2913N|refseq:NP_288287|uniprotkb:P10177	DIP-2913N|refseq:NP_288287|uniprotkb:P10177	-	-	-	-	MI:0401(biochemical)	-	pubmed:3136164|pubmed:DIP-1049S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3933E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2903N|uniprotkb:P28629	DIP-2903N|uniprotkb:P28629	-	-	-	-	MI:0013(biophysical)	-	pubmed:7016035|pubmed:DIP-1037S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-3920E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6053N|refseq:NP_416402|uniprotkb:P07363	DIP-6052N|refseq:NP_416396|uniprotkb:P0AE67	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0004(affinity chromatography technology)|MI:0841(phosphotransfer assay)	-	pubmed:9636149|pubmed:DIP-2303S|pubmed:9437425|pubmed:DIP-17110S|pubmed:15522865|pubmed:DIP-4245S|pubmed:16176121|pubmed:DIP-12393S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10947E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-6071N|refseq:NP_290876|uniprotkb:P00478	DIP-6070N|refseq:NP_313249|uniprotkb:P00479	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:1303763|pubmed:DIP-1606S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10959E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6122N|refseq:NP_290377|uniprotkb:P00855	DIP-2198N|refseq:NP_290376|uniprotkb:P68699	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:12525480|pubmed:DIP-2354S|pubmed:9618459|pubmed:DIP-2353S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10994E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-6179N|refseq:NP_416912|uniprotkb:P08837	DIP-6180N|refseq:NP_288977|uniprotkb:P07006	 -	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0055(fluorescent resonance energy transfer)	-	pubmed:6411705|pubmed:DIP-2465S|pubmed:11060015|pubmed:DIP-1687S|pubmed:6411705|pubmed:DIP-2465S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-11032E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-6159N|uniprotkb:P0CE47	DIP-6160N|refseq:NP_285864|uniprotkb:P02997	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11019E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
