ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-26121N|refseq:NP_502467|uniprotkb:Q9XUH6	DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40864E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-26586N|refseq:NP_495126|uniprotkb:Q09957	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40743E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25436N|refseq:NP_501046|uniprotkb:O45080	DIP-25239N|refseq:NP_498348|uniprotkb:Q9GYR5	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40798E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294	DIP-25505N|refseq:NP_509939|uniprotkb:Q20655	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41291E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24768N|refseq:NP_495494|uniprotkb:Q19058	DIP-24768N|refseq:NP_495494|uniprotkb:Q19058	-	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41199E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26025N|refseq:NP_492767|uniprotkb:Q93573	DIP-24631N|refseq:NP_497203|uniprotkb:Q19294	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41290E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26060N|refseq:NP_493483|uniprotkb:O17670	DIP-25315N|refseq:NP_491224|uniprotkb:Q9XZI6	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41011E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26420N|refseq:NP_491305|uniprotkb:Q966L2	DIP-26338N|refseq:NP_495927	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41188E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26429N|refseq:NP_495712|uniprotkb:Q09536	DIP-26086N|refseq:NP_740913|uniprotkb:A9D8E6	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41280E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26185N|refseq:NP_493453|uniprotkb:Q9XTS1	DIP-24663N	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41853E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26622N|refseq:NP_499074	DIP-25770N|uniprotkb:Q20684	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41926E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24613N|refseq:NP_501015|uniprotkb:Q94207	DIP-25906N|refseq:NP_494272|uniprotkb:O17100	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41708E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24275N|refseq:NP_492677|uniprotkb:Q9XVS2	DIP-26310N|refseq:NP_495921|uniprotkb:Q20414	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41829E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26622N|refseq:NP_499074	DIP-26515N|refseq:NP_497991	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-41923E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25819N|refseq:NP_498984|uniprotkb:P30642	DIP-24442N|refseq:NP_502593|uniprotkb:Q9XU77	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42447E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26855N|refseq:NP_500501|uniprotkb:Q21319	DIP-26757N|refseq:NP_500427|uniprotkb:O44400	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42169E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27446N|refseq:NP_491010|uniprotkb:O76615	DIP-26878N|refseq:NP_497723|uniprotkb:Q21453	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42321E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24983N|refseq:NP_507518|uniprotkb:Q9NES0	DIP-27119N|refseq:NP_497311|uniprotkb:O44872	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42404E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27221N|refseq:NP_741103|uniprotkb:Q9N5N7	DIP-25819N|refseq:NP_498984|uniprotkb:P30642	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42445E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24483N|refseq:NP_502406|uniprotkb:Q9U3B7	DIP-24659N|refseq:NP_495646|uniprotkb:P45962	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42885E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25455N	DIP-25455N	-	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42502E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24416N|refseq:NP_505710|uniprotkb:Q19980	DIP-26139N|refseq:NP_495889|uniprotkb:Q22306	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42869E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26706N|refseq:NP_503141|uniprotkb:O16997	DIP-27360N|refseq:NP_506069|uniprotkb:Q22174	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42730E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25848N|refseq:NP_497841|uniprotkb:Q22030	DIP-24970N|refseq:NP_508674|uniprotkb:O45189	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0077(nuclear magnetic resonance)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S|pubmed:25132178|pubmed:DIP-16925S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-43122E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-26865N|refseq:NP_504613|uniprotkb:O16695	DIP-27139N|refseq:NP_499609|uniprotkb:Q9XTT9	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43256E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24394N|refseq:NP_500390|uniprotkb:Q9N5V2	DIP-26588N|refseq:NP_491489|uniprotkb:O44750	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43291E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26262N|refseq:NP_491384|uniprotkb:Q95Y80	DIP-27249N|refseq:NP_500409|uniprotkb:Q965X6	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43683E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26983N|refseq:NP_496569|uniprotkb:Q9XXH8	DIP-25296N|refseq:NP_502597|uniprotkb:O62427	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43709E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26134N|refseq:NP_510277|uniprotkb:Q20741	DIP-25211N|refseq:NP_497119|uniprotkb:Q9NAB0	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43950E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26889N|refseq:NP_499039|uniprotkb:Q03604	DIP-25211N|refseq:NP_497119|uniprotkb:Q9NAB0	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43951E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25913N|refseq:NP_491526|uniprotkb:Q9N593	DIP-25505N|refseq:NP_509939|uniprotkb:Q20655	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43675E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24825N|refseq:NP_493366|uniprotkb:Q9XWP6	DIP-27157N|refseq:NP_493028|uniprotkb:Q9XVK6	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43805E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24746N|refseq:NP_502974|uniprotkb:Q9NAD6	DIP-26757N|refseq:NP_500427|uniprotkb:O44400	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-43913E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25615N|refseq:NP_499100|uniprotkb:P34605	DIP-26223N|refseq:NP_501981|uniprotkb:Q21891	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44237E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24312N|refseq:NP_507968|uniprotkb:Q9XV56	DIP-26079N|refseq:NP_496159|uniprotkb:Q09581	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44366E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-24930N|refseq:NP_490764|uniprotkb:Q9BL58	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44042E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-27385N|refseq:NP_495966|uniprotkb:Q23390	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44229E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27225N|refseq:NP_741453|uniprotkb:Q9GYQ9	DIP-27179N|refseq:NP_492449|uniprotkb:Q94420	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44352E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2271N|refseq:NP_011337|uniprotkb:P39016	DIP-29083N|refseq:NP_499553|uniprotkb:Q17345	 -	-	-	-	MI:0096(pull down)	-	pubmed:16715093|pubmed:DIP-4406S	taxid:4932(Saccharomyces cerevisiae)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57089E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1957N|refseq:NP_014450|uniprotkb:P39008	DIP-27165N|refseq:NP_495523|uniprotkb:Q09487	 -	-	-	-	MI:0096(pull down)	-	pubmed:16715093|pubmed:DIP-4406S	taxid:4932(Saccharomyces cerevisiae)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57091E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29083N|refseq:NP_499553|uniprotkb:Q17345	DIP-27165N|refseq:NP_495523|uniprotkb:Q09487	 -	-	-	-	MI:0096(pull down)	-	pubmed:16715093|pubmed:DIP-4406S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57092E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29202N|uniprotkb:O16000	DIP-29203N|uniprotkb:Q8T3B2	 -	-	-	-	MI:0400(affinity technology)	-	pubmed:16895441|pubmed:DIP-4476S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-57221E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29202N|uniprotkb:O16000	DIP-27164N|refseq:NP_504688|uniprotkb:O02495	 -	-	-	-	MI:0400(affinity technology)	-	pubmed:16895441|pubmed:DIP-4476S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-57222E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29202N|uniprotkb:O16000	DIP-29204N|uniprotkb:O62414	 -	-	-	-	MI:0400(affinity technology)	-	pubmed:16895441|pubmed:DIP-4476S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-57223E	dip-quality-status:core	dip:0002(small scale)		-
