ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-80N|refseq:NP_523805|uniprotkb:P20227	DIP-778N|refseq:NP_524161|uniprotkb:P49847	 -	-	-	-	MI:0013(biophysical)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:7545910|pubmed:DIP-412S|pubmed:16895980|pubmed:DIP-17231S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-166E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-779N|uniprotkb:P49905	DIP-80N|refseq:NP_523805|uniprotkb:P20227	 -	-	-	-	MI:0013(biophysical)	-	pubmed:7545910|pubmed:DIP-412S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-167E	dip-quality-status:core	dip:0002(small scale)		-
DIP-779N|uniprotkb:P49905	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7545910|pubmed:DIP-412S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-168E	dip-quality-status:core	dip:0002(small scale)		-
DIP-368N|uniprotkb:P04637	DIP-239N|refseq:NP_523391|uniprotkb:Q27272	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:7809597|pubmed:DIP-37S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-193E	dip-quality-status:core	dip:0002(small scale)		-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:8278363|pubmed:DIP-135S|pubmed:8278363|pubmed:DIP-135S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-196E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-388N|refseq:NP_476787|uniprotkb:P10090	DIP-387N|refseq:NP_523824|uniprotkb:P12428	 -	-	-	-	MI:0254(genetic interference)	-	pubmed:8144619|pubmed:DIP-104S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0254(genetic interference)	MI:0465(dip)	DIP-207E	dip-quality-status:core	dip:0002(small scale)		-
DIP-570N|uniprotkb:P03254	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7565781|pubmed:DIP-126S	taxid:10515(Human adenovirus type 2)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-229E	dip-quality-status:core	dip:0002(small scale)		-
DIP-526N|refseq:NP_476768	DIP-54N|refseq:NP_476863|uniprotkb:P13677	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9003779|pubmed:DIP-182S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-274E	dip-quality-status:core	dip:0002(small scale)		-
DIP-769N|uniprotkb:P28678	DIP-526N|refseq:NP_476768	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9010208|pubmed:DIP-46S	taxid:7237(Drosophila pseudoobscura)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-275E	dip-quality-status:core	dip:0002(small scale)		-
DIP-537N|refseq:NP_523710|uniprotkb:P07181	DIP-526N|refseq:NP_476768	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9010208|pubmed:DIP-46S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-276E	dip-quality-status:core	dip:0002(small scale)		-
DIP-751N|uniprotkb:Q07291	DIP-50N|refseq:NP_477189|uniprotkb:P11420	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7224(Drosophila hydei)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-349E	dip-quality-status:core	dip:0002(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-751N|uniprotkb:Q07291	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7224(Drosophila hydei)	MI:0218(physical interaction)	MI:0465(dip)	DIP-350E	dip-quality-status:core	dip:0002(small scale)		-
DIP-356N|refseq:NP_524509|uniprotkb:Q01068	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-351E	dip-quality-status:core	dip:0002(small scale)		-
DIP-722N|refseq:NP_524503|uniprotkb:Q01071	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-352E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-187N|refseq:NP_476824|uniprotkb:P10083	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-353E	dip-quality-status:core	dip:0002(small scale)		-
DIP-50N|refseq:NP_477189|uniprotkb:P11420	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-356E	dip-quality-status:core	dip:0002(small scale)		-
DIP-325N|refseq:NP_476803|uniprotkb:P10084	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-359E	dip-quality-status:core	dip:0002(small scale)		-
DIP-636N|refseq:NP_476694|uniprotkb:P09775	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-360E	dip-quality-status:core	dip:0002(small scale)		-
DIP-50N|refseq:NP_477189|uniprotkb:P11420	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-361E	dip-quality-status:core	dip:0002(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-362E	dip-quality-status:core	dip:0002(small scale)		-
DIP-626N|refseq:NP_536753|uniprotkb:P13097	DIP-325N|refseq:NP_476803|uniprotkb:P10084	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-364E	dip-quality-status:core	dip:0002(small scale)		-
DIP-636N|refseq:NP_476694|uniprotkb:P09775	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-365E	dip-quality-status:core	dip:0002(small scale)		-
DIP-50N|refseq:NP_477189|uniprotkb:P11420	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-366E	dip-quality-status:core	dip:0002(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-367E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-370E	dip-quality-status:core	dip:0002(small scale)		-
DIP-627N|refseq:NP_524511|uniprotkb:P13096	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-372E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-751N|uniprotkb:Q07291	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7224(Drosophila hydei)	MI:0218(physical interaction)	MI:0465(dip)	DIP-373E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-722N|refseq:NP_524503|uniprotkb:Q01071	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-374E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-151N|refseq:NP_731223|uniprotkb:P48987	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-375E	dip-quality-status:core	dip:0002(small scale)		-
DIP-723N|refseq:NP_524504|uniprotkb:Q01070	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-376E	dip-quality-status:core	dip:0002(small scale)		-
DIP-627N|refseq:NP_524511|uniprotkb:P13096	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-377E	dip-quality-status:core	dip:0002(small scale)		-
DIP-751N|uniprotkb:Q07291	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7224(Drosophila hydei)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-378E	dip-quality-status:core	dip:0002(small scale)		-
DIP-723N|refseq:NP_524504|uniprotkb:Q01070	DIP-722N|refseq:NP_524503|uniprotkb:Q01071	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-379E	dip-quality-status:core	dip:0002(small scale)		-
DIP-626N|refseq:NP_536753|uniprotkb:P13097	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-380E	dip-quality-status:core	dip:0002(small scale)		-
DIP-723N|refseq:NP_524504|uniprotkb:Q01070	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-381E	dip-quality-status:core	dip:0002(small scale)		-
DIP-626N|refseq:NP_536753|uniprotkb:P13097	DIP-627N|refseq:NP_524511|uniprotkb:P13096	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-382E	dip-quality-status:core	dip:0002(small scale)		-
DIP-626N|refseq:NP_536753|uniprotkb:P13097	DIP-722N|refseq:NP_524503|uniprotkb:Q01071	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-383E	dip-quality-status:core	dip:0002(small scale)		-
DIP-751N|uniprotkb:Q07291	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7224(Drosophila hydei)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-384E	dip-quality-status:core	dip:0002(small scale)		-
DIP-626N|refseq:NP_536753|uniprotkb:P13097	DIP-151N|refseq:NP_731223|uniprotkb:P48987	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-385E	dip-quality-status:core	dip:0002(small scale)		-
DIP-627N|refseq:NP_524511|uniprotkb:P13096	DIP-627N|refseq:NP_524511|uniprotkb:P13096	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-386E	dip-quality-status:core	dip:0002(small scale)		-
DIP-722N|refseq:NP_524503|uniprotkb:Q01071	DIP-627N|refseq:NP_524511|uniprotkb:P13096	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-388E	dip-quality-status:core	dip:0002(small scale)		-
DIP-722N|refseq:NP_524503|uniprotkb:Q01071	DIP-751N|uniprotkb:Q07291	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7224(Drosophila hydei)	MI:0218(physical interaction)	MI:0465(dip)	DIP-390E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-391E	dip-quality-status:core	dip:0002(small scale)		-
DIP-356N|refseq:NP_524509|uniprotkb:Q01068	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-392E	dip-quality-status:core	dip:0002(small scale)		-
DIP-356N|refseq:NP_524509|uniprotkb:Q01068	DIP-627N|refseq:NP_524511|uniprotkb:P13096	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-393E	dip-quality-status:core	dip:0002(small scale)		-
DIP-151N|refseq:NP_731223|uniprotkb:P48987	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-394E	dip-quality-status:core	dip:0002(small scale)		-
DIP-722N|refseq:NP_524503|uniprotkb:Q01071	DIP-722N|refseq:NP_524503|uniprotkb:Q01071	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-395E	dip-quality-status:core	dip:0002(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-357E	dip-quality-status:core	dip:0002(small scale)		-
DIP-455N|refseq:NP_032239|uniprotkb:Q64279	DIP-50N|refseq:NP_477189|uniprotkb:P11420	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7791788|pubmed:DIP-173S	taxid:10090(Mus musculus)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-449E	dip-quality-status:core	dip:0002(small scale)		-
DIP-325N|refseq:NP_476803|uniprotkb:P10084	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-354E	dip-quality-status:core	dip:0002(small scale)		-
DIP-492N|refseq:NP_477499|uniprotkb:P23647	DIP-121N|refseq:NP_524617|uniprotkb:P19538	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9244297|pubmed:DIP-346S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-272E	dip-quality-status:core	dip:0002(small scale)		-
DIP-187N|refseq:NP_476824|uniprotkb:P10083	DIP-626N|refseq:NP_536753|uniprotkb:P13097	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-363E	dip-quality-status:core	dip:0002(small scale)		-
DIP-627N|refseq:NP_524511|uniprotkb:P13096	DIP-751N|uniprotkb:Q07291	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7224(Drosophila hydei)	MI:0218(physical interaction)	MI:0465(dip)	DIP-387E	dip-quality-status:core	dip:0002(small scale)		-
